"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0007.tif", "G", 1422, 0.0520978135258423, 875.333333333333, 612.466947960619, 34
"0007.tif", "G", 1504, 0.0502144311320084, 1391.60106382979, 354.872340425532, 284
"0007.tif", "G", 1510, 0.0518641581900672, 864.132450331126, 819.343046357616, 82
"0007.tif", "G", 1250, 0.0522317626311743, 903.7968, 996.784, 109
"0007.tif", "G", 1284, 0.0522356816633343, 644.193146417446, 617.682242990654, 0
"0007.tif", "G", 1298, 0.04834678807748, 117.42218798151, 885.195685670262, 64
"0007.tif", "G", 1004, 0.0533972518187219, 755.408366533865, 812.627490039841, 22
"0007.tif", "G", 976, 0.0501452602403047, 1175.73975409836, 603.790983606557, 89
"0007.tif", "G", 1010, 0.0502403451139605, 971.120792079208, 1040.90891089109, 6
"0007.tif", "G", 922, 0.0481045608309431, 122.357917570499, 743.746203904555, 188
"0007.tif", "G", 794, 0.04995344793929, 1398.54659949622, 1030.14105793451, 79
"0007.tif", "G", 680, 0.0490858419028422, 1304.59411764706, 736.705882352941, 8
"0007.tif", "G", 1052, 0.0502205999964768, 1089.78707224335, 612.511406844106, 15
"0007.tif", "G", 498, 0.0498076154121059, 1117.84337349398, 1105.60642570281, 13
